client_id,variation,error_count
27764,test,2
27907,test,0
27988,control,9
28241,test,0
28371,test,3
28542,control,0
28705,control,5
28845,control,0
28857,control,12
29227,test,2
29527,test,1
29595,control,0
30318,test,8
30462,test,0
30493,test,3
31191,control,1
31264,control,4
31336,test,10
31404,test,0
31499,test,4
31502,control,4
31597,test,40
31715,control,0
31766,test,4
32197,control,0
32305,control,0
32471,test,5
32521,test,0
32746,test,5
32859,control,0
33190,control,0
33265,test,0
33463,control,7
33472,test,0
33752,test,0
34067,control,2
34101,test,3
34267,control,0
34501,control,5
34603,control,0
34608,test,0
34631,control,3
35010,test,2
35087,control,2
35091,test,1
35138,test,0
35181,test,3
35257,control,0
35346,control,0
35417,control,0
35476,test,6
35922,test,1
36109,control,2
36342,test,0
36363,test,0
36430,test,3
36432,test,2
36555,test,6
36986,test,11
37064,control,4
37295,control,3
37408,control,0
37423,test,10
37667,test,0
37691,test,2
37705,test,0
37897,test,0
38275,test,2
38283,test,3
38340,test,0
38551,test,1
38685,control,0
38714,control,0
38775,test,1
38930,control,3
38963,control,0
39004,test,0
39075,control,0
39566,test,0
39968,control,1
40283,test,9
40439,test,0
40969,test,3
41122,test,0
41142,test,7
41199,test,0
41237,test,0
41516,control,0
41652,control,0
41924,test,4
42082,control,1
42296,control,3
42349,test,0
42725,test,0
43494,control,3
43645,test,0
43766,control,0
44060,control,4
44216,control,2
44705,test,3
44860,control,0
44932,test,0
44995,test,0
45131,test,6
45232,test,6
45485,test,3
45510,test,5
46223,control,0
46790,test,1
46934,test,3
47402,control,2
47571,control,0
47860,test,2
47933,control,3
48241,control,15
48424,control,9
48431,control,0
48448,test,1
48724,test,7
49412,control,4
49450,control,4
49709,test,6
49998,test,0
50053,test,0
50090,test,0
50185,control,0
50271,control,0
50325,test,0
50599,test,1
50643,control,3
50692,control,0
51493,test,0
51526,test,4
51706,control,0
51814,control,0
51902,control,0
52111,control,11
52309,test,4
52384,control,1
52456,control,5
52461,control,0
52743,test,7
52765,control,0
53094,control,0
53123,control,0
53126,control,0
53169,control,1
53396,test,0
53990,control,0
54231,test,0
54291,control,0
54363,control,0
54477,control,0
54893,test,0
55059,test,0
55265,test,3
55333,test,0
55448,control,3
55951,test,2
56294,test,2
56529,control,3
56570,test,3
56782,control,2
56923,test,2
58001,control,3
58194,test,4
58196,control,12
58456,control,7
58589,control,8
58676,control,0
58867,test,0
58917,control,3
58962,test,2
59089,control,1
59152,test,0
59360,test,0
59605,control,0
59782,control,2
59802,test,3
59860,control,6
60101,test,0
60483,test,0
60802,test,5
60958,test,1
61007,test,3
61487,test,0
61650,test,2
61961,test,2
62058,control,0
62284,test,1
62498,control,0
62503,control,2
62754,test,0
62791,test,0
62805,test,0
62837,control,0
63001,control,0
63377,control,0
63507,test,0
63796,test,4
63879,test,3
63955,test,0
64020,control,2
64058,test,0
64871,control,0
64885,test,0
64964,control,2
65221,test,0
65716,control,5
65845,control,0
66160,test,0
66169,control,4
66539,test,0
66543,control,1
66930,test,4
67390,test,2
67452,test,0
67845,test,2
67925,test,3
68116,control,0
68170,control,1
68276,test,0
68830,control,2
68854,control,2
68884,test,8
68886,test,0
68963,control,8
69255,control,0
69568,test,0
69591,test,0
69598,control,0
70225,control,2
70576,test,11
70863,test,0
71159,test,1
71296,control,8
71476,control,0
71626,control,3
72074,test,7
72221,control,8
72388,test,0
72395,test,2
72915,test,0
72916,test,0
72988,test,1
73331,control,0
73335,control,0
73453,control,1
73615,test,0
73648,test,0
73910,control,0
74169,control,3
74564,test,1
74844,test,2
74976,test,3
75033,test,0
75381,control,0
75490,test,0
75642,control,0
76424,control,0
76429,test,2
76481,test,15
76635,test,4
76775,test,0
76776,control,6
77071,control,3
77276,test,0
77513,test,3
77933,test,0
78720,test,0
78728,control,1
78779,test,10
78917,control,2
79127,control,4
79229,control,1
79452,test,0
79571,control,0
79669,test,5
79679,control,0
79819,control,4
79897,test,3
80006,test,4
80126,test,0
80127,control,4
80241,control,2
80275,test,9
80479,test,3
80559,control,0
80801,test,9
80915,control,1
81102,control,0
81119,test,1
81303,test,3
81601,control,1
81720,test,4
81816,control,0
81976,control,0
82206,test,0
82376,control,0
82560,test,3
82566,control,0
82712,control,31
82723,control,3
82772,test,0
82869,control,0
83158,control,0
83447,control,10
83507,test,0
83585,test,0
83683,control,0
83795,test,16
84108,control,0
84464,test,0
84480,control,3
84596,test,1
84624,control,0
84658,test,4
84976,test,4
85097,control,6
85286,control,5
85515,control,11
85793,control,4
86035,test,0
86499,control,0
86616,control,3
86699,control,0
86780,test,2
86877,test,4
87162,control,1
87218,control,3
87300,control,1
87424,test,0
87449,test,0
87915,test,4
88378,control,1
88723,control,1
88759,control,0
88986,test,0
89039,test,0
89052,control,0
89116,control,0
89257,test,4
89604,test,0
89645,control,4
89693,test,0
89812,test,3
89959,test,14
90324,test,2
90360,test,0
90383,test,0
90596,control,4
91110,test,7
91254,test,0
91443,test,3
91633,test,2
92066,test,1
92137,test,0
92665,test,0
92808,control,3
92864,test,0
93127,control,4
93137,test,0
93370,test,3
93480,test,0
93610,test,5
93751,test,8
93870,test,5
93915,test,14
94234,test,0
94510,control,1
94552,test,10
94662,test,7
94767,test,0
94778,control,0
94914,test,0
95035,test,2
95199,test,0
95453,test,4
96190,test,0
96548,control,0
96787,test,5
96845,control,0
97147,test,2
97170,control,0
97322,control,0
97424,test,0
97590,test,1
97723,control,0
97966,control,8
98248,test,4
98337,test,0
98860,control,0
99149,control,4
99208,test,0
99811,control,1
100118,test,4
100250,test,0
100503,control,3
100888,control,0
100940,test,8
101143,control,1
101220,test,1
101246,control,2
101818,control,0
102859,control,2
102884,test,3
103515,control,0
103622,test,3
103627,test,0
103669,test,1
104190,test,7
104328,control,10
104643,test,0
104781,control,3
104884,control,5
104972,test,0
105007,control,0
105026,control,1
105357,control,1
105360,control,4
105623,control,2
106102,test,0
106137,test,2
106457,control,9
106501,test,0
108335,control,6
108419,test,2
108438,control,5
108892,test,0
109175,control,4
109413,control,0
109465,control,2
109662,test,6
109859,control,1
109932,control,6
110028,test,1
110212,test,2
110288,test,1
110772,test,5
110890,control,0
111012,control,4
111162,test,3
111304,control,0
111477,control,1
112128,control,0
112766,test,9
113597,test,4
113852,test,0
113903,test,3
113951,test,0
113964,test,12
114459,control,3
114541,control,5
114542,test,0
114566,control,0
114780,control,0
115163,test,0
115570,test,0
115597,control,0
115834,control,6
115839,test,0
115973,control,0
116248,test,0
116345,control,0
116384,test,0
116505,control,3
116682,control,0
116693,control,0
117032,test,19
117276,test,0
117457,test,0
117520,test,0
117621,control,0
117883,control,1
117916,test,1
117979,control,1
118358,control,0
118415,control,0
118446,test,8
118576,test,0
118723,control,4
118964,control,6
118966,test,3
119006,test,15
119599,test,1
119634,test,8
120089,test,9
120309,control,0
120351,test,0
120660,test,0
120830,test,2
120872,control,6
121029,test,0
121238,test,0
121354,test,0
121536,test,6
121672,test,3
122093,test,1
122493,control,1
122526,test,2
122790,test,0
123141,control,0
123311,test,2
123552,control,1
123853,test,2
124118,control,0
124572,control,0
124614,test,0
124624,control,0
124646,test,1
124916,control,2
125022,control,2
125124,test,2
125273,control,0
125305,control,0
125679,control,9
125750,test,0
126090,control,8
126171,control,0
126259,test,0
126285,control,5
126288,test,0
126309,control,1
126524,test,0
126758,test,0
126759,control,0
126853,test,0
126893,control,0
127331,test,2
127396,test,0
127477,control,0
127825,test,0
127921,test,0
128147,control,1
128230,test,5
128801,control,4
128919,test,0
128983,control,2
129549,control,3
129659,control,0
130031,control,2
130452,test,4
130952,test,13
131064,control,7
131973,test,3
132547,control,1
133096,test,6
133101,control,0
133340,test,3
133394,test,9
133471,control,0
133487,control,2
133522,control,5
133565,control,0
133631,control,0
133742,test,0
133779,test,3
134164,test,0
134207,control,0
134282,test,0
134286,control,1
134582,control,2
134657,control,0
134829,control,0
135199,control,0
135254,test,18
135842,control,0
135917,test,1
135969,test,0
136138,control,3
136237,control,1
136873,test,0
136978,test,0
136986,control,1
137016,test,0
137061,test,2
137412,test,0
137555,test,2
137781,test,1
137816,test,0
137933,test,0
138002,test,0
138093,control,1
138395,control,3
138686,control,8
138741,test,1
138790,test,0
139079,control,1
139808,test,2
139872,test,0
139979,test,2
139996,test,6
140020,test,4
140116,control,0
140488,control,5
140489,control,2
140683,test,0
140690,control,0
141417,test,0
141591,control,11
141602,control,22
141643,test,0
142351,test,6
142579,control,5
142667,control,0
142695,test,2
142725,control,3
143218,control,0
143267,test,0
143271,test,0
143610,control,1
143688,control,13
143691,control,2
144169,control,6
144244,control,1
144678,control,0
144773,control,0
145106,test,1
145810,test,4
146072,test,7
146205,control,0
146317,control,0
146390,test,0
146579,test,0
146603,control,0
147033,control,0
147077,control,1
147316,control,1
148037,control,0
148076,control,0
148099,control,1
148217,test,0
148347,test,0
148369,test,0
148391,test,8
148445,control,16
148448,test,0
148850,test,0
148954,control,0
149108,test,0
149192,test,4
149265,test,0
149593,control,4
149635,test,2
149685,control,0
150095,test,2
151250,test,4
151444,control,2
151897,test,0
152356,control,0
152661,test,1
153841,control,0
154143,test,2
154147,test,9
154150,control,2
154458,control,4
154640,control,0
154658,control,0
154782,test,2
154809,test,16
155526,control,0
156105,test,8
156894,control,2
156945,control,0
157106,test,0
157209,test,4
157852,control,4
157871,control,4
158047,test,12
158141,test,0
158201,test,1
159268,control,5
159558,test,4
159617,control,4
159687,test,2
159728,test,4
159823,control,2
159875,test,27
159908,test,2
159970,test,2
160085,control,0
160144,test,0
160466,control,10
160616,control,1
160654,test,2
160741,test,1
160938,control,0
161074,control,0
161108,control,0
161127,control,0
161440,test,2
161491,control,1
161771,test,0
161792,control,4
162127,test,7
162388,test,0
162575,control,1
162867,test,3
162894,test,0
163907,test,10
164324,test,0
165301,control,2
165428,control,0
165765,test,1
165890,control,0
165900,test,2
166017,test,1
166154,test,5
166289,control,1
166315,test,6
166702,control,2
166715,control,0
167496,control,1
168266,test,2
168539,test,0
168727,control,0
168940,control,4
168989,test,8
169185,test,2
169560,test,1
169620,test,1
169784,test,0
170383,test,0
170462,test,9
170507,control,0
170660,control,2
170798,test,9
170865,control,0
170895,control,0
170896,control,2
171096,test,12
171484,test,0
171492,test,1
171583,test,0
171597,test,3
171971,test,0
172422,test,3
172858,test,0
173084,control,9
173122,control,2
173784,control,3
174238,test,0
174244,test,0
174360,control,1
174800,control,0
174806,control,1
175033,control,1
175128,control,1
175196,control,1
175625,test,8
175752,test,5
175784,control,0
175907,test,3
176114,test,1
176808,control,0
176963,test,10
176966,test,0
177581,control,0
177765,test,1
177876,control,0
177990,control,5
178125,test,0
178214,test,0
178493,control,0
178853,control,0
179027,control,2
179076,control,8
179119,test,0
179358,test,1
179489,control,0
179667,test,3
180142,control,8
180381,control,0
180404,control,0
180425,test,1
180953,control,5
181125,test,5
181254,test,3
182074,test,0
182574,control,0
182575,control,1
182591,control,0
182739,test,3
183077,test,0
183287,control,0
183399,control,0
183713,control,0
183720,test,0
183855,control,0
184127,test,0
184211,control,8
184216,test,0
184396,test,2
184701,test,2
184963,control,0
185096,test,8
185553,control,5
185675,test,10
185881,control,0
185963,test,4
186246,control,1
186550,test,0
186612,control,0
186857,test,0
187308,test,0
187326,test,14
187498,test,2
187547,test,2
187837,control,0
187901,control,1
187902,test,14
188427,control,0
188807,control,1
189053,control,0
189267,control,0
189299,control,3
189571,control,0
189572,test,0
190001,test,2
190197,control,0
190246,test,0
190580,test,21
190598,test,0
191300,test,7
191373,control,0
191619,test,0
191749,control,0
191877,test,0
192049,test,1
192160,test,4
192386,test,1
192518,test,0
192577,test,5
192654,test,2
192775,test,3
193111,test,3
193303,test,0
193305,test,0
193457,test,2
193613,control,2
193835,control,1
194066,test,0
194329,control,0
194470,test,0
194686,control,3
194784,test,0
194816,test,1
195080,test,0
195166,test,0
195310,control,0
195446,control,7
195455,test,12
195655,test,0
195714,control,0
196053,control,0
196103,control,1
196286,control,0
196531,test,2
196635,test,0
196675,control,2
196865,control,0
196988,test,7
197335,control,0
197374,test,0
197518,control,0
197560,test,0
197793,test,1
197955,control,0
198652,test,0
198773,control,1
198857,control,0
198932,control,4
198935,test,0
199386,test,11
200308,test,1
200352,control,0
200372,control,2
200598,test,1
200604,control,1
200648,test,1
200698,test,0
200707,test,1
201225,control,0
201392,control,9
201394,test,0
201447,test,3
201641,test,0
201846,test,0
201909,test,0
202371,test,4
202856,control,0
202865,control,6
202925,control,3
202973,test,0
203027,test,4
203223,test,1
203427,control,0
203500,test,0
203702,control,0
203797,test,1
204212,control,3
204361,control,0
204445,test,0
204496,control,14
204784,test,2
204888,test,0
205273,test,0
205429,test,0
205563,test,0
206428,test,9
206829,control,5
206871,test,0
207109,test,7
207261,test,9
207299,control,0
207387,test,6
207416,control,2
207455,test,0
207721,control,1
208156,test,5
208237,control,2
208307,control,0
208505,test,0
208525,test,2
208722,control,0
208784,test,0
209090,control,3
209099,test,0
209462,test,2
209511,control,1
209532,control,0
210140,test,0
210141,test,0
210180,test,4
210347,control,0
210473,control,4
210667,test,1
211023,test,2
211380,test,12
211694,test,5
211709,control,2
211786,control,0
212071,control,9
212654,test,0
213006,test,4
213870,control,1
214083,test,1
214594,control,0
214667,test,2
214786,control,1
214944,control,0
214998,control,6
215411,test,5
215661,test,0
215880,control,2
216445,control,2
217308,test,0
217500,control,0
217547,test,0
217761,test,2
217950,test,0
218589,test,0
218777,test,0
218903,control,0
219038,test,2
219207,test,0
219230,control,3
219306,control,0
219592,test,3
219851,control,0
219882,test,0
219909,test,4
220061,test,0
220394,control,2
220594,test,0
220644,control,1
220901,control,6
221092,test,0
221296,test,0
221354,control,0
221385,test,0
221558,control,0
221734,control,0
221775,control,1
221779,test,0
222111,test,0
222315,control,5
222726,control,0
222973,test,3
223224,control,1
223802,test,0
224102,control,1
224773,test,0
225062,control,0
225103,control,0
225368,control,0
225675,control,2
225928,control,0
226198,test,2
226234,control,7
226403,control,4
226818,test,0
226840,control,1
226853,test,0
227083,control,0
227588,test,1
227610,test,0
227629,control,5
227631,test,0
227805,test,0
228465,test,2
228538,test,2
228662,test,2
228758,test,1
228783,test,0
228868,test,3
229123,test,0
229242,control,0
229490,test,0
229500,control,2
229522,test,1
229701,control,0
229800,test,0
230117,control,0
230423,test,2
230492,control,1
230538,test,0
230551,test,2
230560,control,0
230950,control,0
231622,test,1
231804,test,6
233145,test,0
233249,control,0
233312,test,0
233344,test,0
233391,test,0
233429,test,0
233601,control,0
233796,test,2
233799,control,0
233965,control,0
234014,test,17
234316,test,0
234491,control,1
234619,test,2
235037,test,0
235156,test,2
235331,control,4
235342,test,5
236486,control,0
236511,test,0
236546,control,0
236696,test,2
237072,test,0
237182,control,8
237500,control,2
237511,test,5
237525,control,0
237611,test,0
237686,test,0
237822,control,17
237927,control,0
238091,test,4
238154,control,0
238320,control,2
238490,control,2
238672,control,3
238874,control,0
239127,test,0
239136,control,7
239291,test,0
239465,test,2
239685,control,6
239772,control,0
239815,control,0
240288,control,0
240400,control,6
240468,control,29
240560,test,2
241057,control,0
241085,test,6
241571,control,1
242019,control,3
242197,test,2
242235,test,0
242241,control,0
242262,control,0
242576,test,1
242792,control,0
242833,control,5
242922,control,0
243705,test,3
244011,test,0
244283,test,2
244304,control,0
244487,test,0
244897,control,3
244941,test,4
245270,control,3
245312,test,5
245646,control,0
246429,test,4
246710,test,0
246812,test,0
246901,test,9
246911,control,0
246922,test,1
247432,control,21
247960,test,8
248317,test,2
248347,control,1
248426,test,0
248485,control,0
248531,test,2
248569,test,0
249333,control,0
249632,test,1
249680,control,0
249743,control,1
250165,control,4
250277,control,0
250645,test,2
250763,control,0
250924,test,1
251184,control,2
251242,control,1
251414,test,3
251479,control,0
251519,test,0
251727,control,0
251748,test,0
252002,control,0
252042,control,0
252085,control,3
252509,control,0
252667,test,2
252744,control,0
252898,test,6
253049,test,2
253211,test,0
253639,test,1
253737,control,7
253977,control,0
254266,control,1
254302,test,0
254417,test,0
254491,control,0
254505,test,0
254529,control,2
254604,test,2
254909,control,1
254955,test,0
255668,control,0
255743,control,1
256199,control,14
256277,test,15
256308,control,0
256318,control,1
256325,test,0
256853,control,0
257116,test,0
257259,test,0
257347,test,0
257411,control,0
257597,control,1
257840,test,0
257907,test,0
258144,test,6
258198,control,0
258243,test,0
258563,control,5
258829,control,2
258909,test,4
259061,control,3
259228,test,0
259331,test,3
259424,control,0
260044,test,0
260054,control,2
260336,test,4
260668,test,1
260727,test,0
260843,test,0
261325,test,1
261440,control,0
261785,test,1
261852,test,2
261857,control,1
262054,control,0
262201,control,0
262503,test,5
262535,control,2
262591,control,9
262702,test,0
263177,test,2
263217,control,6
263861,test,6
264049,test,0
265126,test,1
265715,test,1
266183,control,0
266232,test,0
266315,test,5
266404,test,2
266497,control,1
266635,control,1
266896,test,1
267117,control,1
267299,control,1
267341,test,0
267391,test,0
267397,control,0
267446,control,6
267551,test,1
267576,control,9
267928,test,3
268386,control,1
268415,test,0
268441,control,0
268509,control,0
268845,control,0
268908,control,0
268972,control,3
269352,control,0
269373,control,0
269520,control,0
269529,test,0
269636,control,0
269660,test,6
269751,test,0
270013,test,0
270173,test,0
270527,control,0
270539,test,0
270682,control,0
271343,test,4
271577,control,1
271840,test,2
271955,control,0
272484,test,1
272924,control,0
272934,control,0
273258,control,4
273319,control,2
273469,test,0
273721,test,1
273872,control,0
274222,control,2
274416,test,0
274453,control,1
274476,test,0
274798,control,3
274816,control,1
275144,test,0
275210,test,10
275288,test,1
276792,test,2
277068,test,1
277251,control,0
277560,control,0
277875,control,0
278017,test,0
278457,test,0
278834,control,1
278839,test,0
278866,control,1
279311,test,0
279675,test,0
279718,test,11
279820,test,0
280389,test,0
280640,control,0
280881,test,0
280950,control,0
281095,test,2
281100,test,20
282077,control,0
282081,control,8
282393,control,5
283127,test,8
283311,test,5
283338,control,3
283734,test,5
283840,test,0
284347,control,1
284427,test,0
284562,test,2
284648,test,7
285205,control,2
285338,test,1
285619,control,4
285977,control,2
286117,control,0
286645,test,2
286837,test,1
286957,test,1
287006,control,0
287010,test,3
287195,test,0
287360,test,0
287737,control,7
287756,control,0
287817,test,2
288973,test,5
289030,control,1
289514,control,2
289716,test,0
289799,test,0
290869,control,1
291182,control,1
291330,control,0
291411,control,3
292165,control,0
292316,test,0
292370,control,9
292583,test,1
292662,control,14
292742,test,0
292768,control,1
292788,test,0
292954,control,1
293002,control,4
293075,test,0
293082,test,2
293284,control,0
293500,control,0
293841,control,0
294034,test,3
294716,control,3
294956,test,0
295552,test,13
295651,test,0
295858,test,1
296131,test,5
296154,control,10
296161,control,0
296285,control,3
296314,test,22
296402,test,1
296527,control,0
297011,control,0
297220,control,14
297253,test,2
297472,control,1
297511,test,7
297721,test,0
297788,test,0
297959,test,2
298442,control,0
298590,test,5
298708,test,3
298786,test,0
298925,control,4
299060,control,0
299462,control,3
299523,control,0
299563,control,0
299872,control,2
300527,test,0
300899,test,2
301097,control,7
301141,control,2
301165,test,0
301330,control,0
301637,test,0
301969,test,5
302069,control,4
302083,test,9
302140,test,0
302202,control,0
303136,test,0
303432,test,0
303497,test,0
303551,test,2
303920,test,0
304434,test,0
304915,test,0
304982,control,0
305018,control,0
305028,test,0
305138,control,2
305251,test,3
305572,control,0
305648,test,0
306118,test,5
306459,test,0
306592,test,2
307667,control,0
307881,test,0
307903,control,1
308060,test,0
308167,test,0
308531,test,0
308702,test,0
309009,test,0
309189,control,0
309302,test,8
309362,test,2
309480,test,1
309508,control,1
309715,control,2
309846,test,0
309851,control,0
309979,control,0
310181,test,0
310366,control,1
310380,control,0
310446,test,1
310644,test,1
310721,test,3
311194,control,0
311251,test,0
311296,control,0
311471,control,0
311794,control,5
312042,test,0
312094,control,0
312131,test,6
312165,control,0
312199,test,0
312698,control,0
312726,control,0
312781,test,0
312799,control,0
312887,test,0
312984,control,3
313261,control,0
313570,test,0
313591,test,4
313763,control,4
313789,control,0
314189,test,2
314209,test,1
314673,test,7
314958,control,0
314959,control,3
315324,test,4
316017,test,13
316463,control,0
316514,test,0
316689,control,0
316989,test,0
317043,control,0
317351,test,3
317438,test,10
317713,test,0
317857,test,9
318182,control,0
318535,test,0
318680,test,1
318831,test,12
318849,test,1
318876,test,4
318888,test,3
319514,test,8
319618,test,0
319648,test,0
319800,test,1
319807,control,0
319927,control,3
319971,control,0
320094,test,0
320321,test,1
320499,control,14
320586,control,0
320617,test,0
320786,control,2
320798,test,0
320868,test,1
321188,control,0
321523,test,0
321755,test,1
322007,test,5
322174,control,1
322453,control,0
322785,test,0
322818,control,0
322874,control,0
322927,control,0
323290,control,0
323337,control,1
323407,control,0
323628,test,1
323720,test,0
323753,test,5
323950,control,0
323999,test,2
324086,control,4
324094,test,0
324516,control,0
325301,control,0
325599,control,0
325933,test,0
326039,control,0
326204,test,1
326512,test,6
326613,test,0
326707,test,2
327337,control,9
327362,test,4
327511,test,3
327520,test,0
327539,test,0
327568,test,0
327738,control,1
327979,control,0
328027,control,3
328050,control,0
329062,test,0
329574,test,0
329631,control,0
329693,control,11
329730,test,2
330024,control,2
330035,test,0
330243,control,0
330666,control,0
331139,test,0
331166,test,0
331379,control,20
331795,control,0
332073,control,0
332101,test,0
332121,control,0
332287,test,2
332658,test,0
333023,test,0
333321,test,6
333392,test,0
333744,test,5
334181,test,5
334242,test,0
334362,test,0
334785,test,4
334941,control,4
335080,control,0
335335,test,0
335389,control,0
335786,test,4
335913,test,3
335950,control,0
336166,control,3
336203,control,1
336265,test,0
336279,control,0
336414,control,0
336421,test,0
336903,test,9
337421,test,0
337729,control,0
337878,test,2
338164,control,4
338292,test,0
338607,test,0
338641,control,0
338896,control,1
339004,control,0
339258,test,1
339396,control,0
339684,test,6
340120,control,1
340192,test,5
340426,test,3
340480,test,2
340534,control,0
340947,test,4
341102,test,3
341409,test,0
341429,control,0
341647,test,0
341976,test,4
342070,test,0
342283,test,0
342322,test,0
342333,control,1
342341,control,0
342517,control,6
342646,control,0
342684,control,0
342757,test,2
343183,control,8
343525,test,4
343583,control,0
343737,test,1
343881,control,1
343906,control,0
343935,test,4
344514,test,2
344840,control,2
344960,control,1
345640,test,4
346106,control,0
346406,test,0
346409,control,1
346580,test,0
346781,test,0
346805,test,1
347076,control,1
347328,control,0
347452,test,0
347861,test,8
347874,test,3
348166,control,1
348330,control,1
348355,control,7
348888,control,3
349305,control,8
349379,control,0
349728,test,0
350165,control,0
350463,control,0
350524,test,0
350673,test,0
351038,test,4
351093,control,1
351247,test,0
351374,control,1
351533,control,0
351690,control,8
351701,control,0
351792,control,0
351901,test,5
352020,test,4
352172,test,0
352491,control,0
352497,test,1
352659,test,0
352713,test,0
353281,control,0
353628,control,0
353658,control,1
353727,control,0
353828,test,11
353896,control,0
354470,test,7
354541,test,6
354699,control,0
354981,control,3
355337,control,0
356001,control,1
356363,control,0
356380,control,5
356581,control,0
356780,control,3
356783,control,0
356824,control,5
357090,control,1
357318,test,0
357553,test,4
357583,test,1
357945,control,0
358027,test,0
358176,control,0
358189,control,2
358223,test,0
358285,test,2
358456,test,0
358827,control,1
358876,control,1
358970,test,0
359266,control,6
359316,test,5
359374,control,2
359623,control,15
359736,test,0
359922,test,1
360131,control,0
360511,control,1
360674,test,0
360816,control,2
360872,control,0
361296,control,5
361306,control,1
361484,control,0
361590,test,1
361728,control,0
362107,test,0
362727,test,0
363066,test,2
363128,test,0
363428,control,10
363451,test,3
363461,control,3
363631,control,2
363952,test,30
364039,control,0
364153,control,1
364797,control,0
365203,test,2
365420,test,4
365525,test,2
365534,test,7
365583,control,3
365845,test,2
365868,control,2
366500,control,0
366858,control,1
366887,test,1
367295,test,0
367331,control,4
367638,control,1
367642,control,0
367874,control,0
368005,control,0
368396,test,4
368473,control,1
368713,control,3
368994,test,0
369046,test,3
369222,test,0
369255,control,1
369940,test,0
369968,control,1
370021,test,0
370053,test,0
370067,control,0
370200,test,0
370201,test,5
370238,test,0
370633,test,2
370651,control,2
370659,test,0
370773,test,2
371059,control,2
371162,test,0
371892,control,0
372126,test,6
372139,test,0
372207,test,4
372517,test,2
372523,control,6
372563,test,0
372662,test,0
372697,test,0
372698,control,0
372755,test,0
372780,test,8
373190,test,3
373345,test,0
373361,test,0
373376,test,1
373454,control,0
373577,test,0
373863,test,0
373892,control,0
374015,control,0
374255,control,0
374585,test,6
374721,control,0
374835,control,0
374896,control,0
374973,test,19
375176,test,0
375257,test,6
375418,control,0
375492,control,0
375504,test,0
375730,test,0
375831,control,1
375834,control,2
376294,test,0
376559,control,2
376793,test,9
377022,test,0
377178,test,0
377380,test,1
377914,control,0
377932,test,0
378018,test,0
378319,test,6
378530,control,0
378538,test,2
378556,test,7
378738,test,0
378822,test,2
379137,control,0
379383,control,0
379788,control,0
379863,test,5
380170,control,4
380583,control,0
380729,test,7
380857,control,0
381102,test,0
381123,control,0
381655,control,3
381660,test,12
381711,control,2
381793,test,8
381961,test,2
382031,test,1
382202,test,4
382316,test,5
382317,test,4
382434,control,0
382734,control,0
382897,test,0
382998,test,2
383009,test,0
383141,test,0
383168,test,0
383373,test,0
383469,test,2
383674,test,0
384132,test,4
384371,control,0
385052,test,0
385095,test,0
385337,test,4
385456,test,0
385555,test,5
385623,control,1
385802,test,3
385931,control,2
386336,test,0
386383,test,0
386570,control,2
386822,control,1
387056,control,0
387539,test,4
387579,test,0
387835,control,3
387839,control,4
388395,test,1
388801,test,0
389358,test,0
389384,test,0
390511,control,1
390635,test,0
390650,test,0
390870,control,1
391025,control,0
391167,test,1
391209,test,1
391472,control,0
391817,control,1
391821,test,4
392273,control,0
392318,test,4
392459,test,0
392725,test,0
392733,control,6
392757,control,0
393005,control,6
393252,control,0
393489,test,5
394110,test,0
394311,test,5
394456,control,0
394458,test,1
394629,test,0
394951,control,0
395018,test,1
