client_id,process_step,error_count,variation
35922,step_1,0,test
35922,step_2,0,test
35922,step_3,0,test
36342,start,0,test
36342,step_1,0,test
36342,step_2,0,test
36342,step_3,0,test
36363,start,0,test
36363,step_1,0,test
36363,step_2,0,test
36363,step_3,0,test
36430,step_3,2,test
36430,step_2,1,test
36430,start,0,test
36430,step_1,0,test
36432,start,1,test
36432,step_1,1,test
36432,step_2,0,test
36555,start,4,test
36555,step_1,2,test
36555,step_2,0,test
36555,step_3,0,test
36986,start,5,test
36986,step_1,4,test
36986,step_2,1,test
36986,step_3,1,test
37423,start,6,test
37423,step_1,4,test
37423,step_2,0,test
37423,step_3,0,test
37667,start,0,test
37667,step_1,0,test
37667,step_2,0,test
37667,step_3,0,test
37691,start,2,test
37691,step_1,0,test
37705,start,0,test
37705,step_1,0,test
37705,step_2,0,test
37705,step_3,0,test
37897,start,0,test
37897,step_1,0,test
37897,step_2,0,test
37897,step_3,0,test
38275,start,2,test
38283,start,2,test
38283,step_1,1,test
38283,step_2,0,test
38283,step_3,0,test
38340,start,0,test
38340,step_1,0,test
38340,step_2,0,test
38340,step_3,0,test
38551,start,1,test
38551,step_1,0,test
38551,step_2,0,test
38551,step_3,0,test
38775,start,1,test
39004,start,0,test
39566,start,0,test
39566,step_1,0,test
39566,step_2,0,test
39566,step_3,0,test
40283,start,9,test
40439,start,0,test
40439,step_1,0,test
40439,step_2,0,test
40439,step_3,0,test
40969,start,3,test
40969,step_1,0,test
41122,start,0,test
41122,step_1,0,test
41122,step_2,0,test
41122,step_3,0,test
41142,start,6,test
41142,step_1,1,test
41142,step_2,0,test
41142,step_3,0,test
41199,start,0,test
41199,step_1,0,test
41199,step_2,0,test
41199,step_3,0,test
41237,start,0,test
41237,step_1,0,test
41237,step_2,0,test
41237,step_3,0,test
41924,start,4,test
41924,step_1,0,test
41924,step_2,0,test
42349,start,0,test
42349,step_1,0,test
42349,step_2,0,test
42349,step_3,0,test
42725,start,0,test
42725,step_1,0,test
42725,step_2,0,test
42725,step_3,0,test
43645,start,0,test
43645,step_1,0,test
43645,step_2,0,test
43645,step_3,0,test
44705,start,2,test
44705,step_1,1,test
44705,step_2,0,test
44705,step_3,0,test
44932,start,0,test
44932,step_1,0,test
44932,step_2,0,test
44932,step_3,0,test
44995,start,0,test
44995,step_1,0,test
45131,start,3,test
45131,step_1,1,test
45131,step_2,1,test
45131,step_3,1,test
45232,start,6,test
45232,step_1,0,test
45232,step_2,0,test
45232,step_3,0,test
45485,step_3,2,test
45485,step_2,1,test
45485,start,0,test
45485,step_1,0,test
45510,start,2,test
45510,step_1,1,test
45510,step_2,1,test
45510,step_3,1,test
46790,start,1,test
46790,step_1,0,test
46790,step_2,0,test
46934,start,3,test
47860,start,1,test
47860,step_3,1,test
47860,step_1,0,test
47860,step_2,0,test
48448,start,1,test
48448,step_1,0,test
48448,step_2,0,test
48448,step_3,0,test
48724,start,4,test
48724,step_1,1,test
48724,step_2,1,test
48724,step_3,1,test
49709,step_2,3,test
49709,step_3,3,test
49709,start,0,test
49709,step_1,0,test
49998,start,0,test
49998,step_1,0,test
50053,start,0,test
50053,step_1,0,test
50053,step_2,0,test
50053,step_3,0,test
50090,start,0,test
50090,step_1,0,test
50090,step_2,0,test
50090,step_3,0,test
50325,start,0,test
50325,step_1,0,test
50325,step_2,0,test
50325,step_3,0,test
50599,start,1,test
51493,start,0,test
51493,step_1,0,test
51493,step_2,0,test
51493,step_3,0,test
51526,start,2,test
51526,step_1,1,test
51526,step_3,1,test
51526,step_2,0,test
52309,step_1,2,test
52309,start,1,test
52309,step_2,1,test
52743,start,2,test
52743,step_1,2,test
52743,step_2,2,test
52743,step_3,1,test
53396,start,0,test
53396,step_1,0,test
53396,step_2,0,test
53396,step_3,0,test
54231,start,0,test
54231,step_1,0,test
54231,step_2,0,test
54231,step_3,0,test
54893,start,0,test
54893,step_1,0,test
54893,step_2,0,test
54893,step_3,0,test
55059,start,0,test
55059,step_1,0,test
55059,step_2,0,test
55059,step_3,0,test
55265,step_1,1,test
55265,step_2,1,test
55265,step_3,1,test
55265,start,0,test
55333,start,0,test
55333,step_1,0,test
55333,step_2,0,test
55333,step_3,0,test
55951,start,2,test
56294,start,1,test
56294,step_1,1,test
56294,step_2,0,test
56294,step_3,0,test
56570,start,2,test
56570,step_1,1,test
56570,step_2,0,test
56570,step_3,0,test
56923,step_2,1,test
56923,step_3,1,test
56923,start,0,test
56923,step_1,0,test
58194,step_1,2,test
58194,step_2,1,test
58194,step_3,1,test
58194,start,0,test
58867,start,0,test
58867,step_1,0,test
58867,step_2,0,test
58867,step_3,0,test
58962,step_1,2,test
58962,start,0,test
58962,step_2,0,test
58962,step_3,0,test
59152,start,0,test
59152,step_1,0,test
59152,step_2,0,test
59152,step_3,0,test
59360,start,0,test
59360,step_1,0,test
59360,step_2,0,test
59360,step_3,0,test
59802,step_1,1,test
59802,step_2,1,test
59802,step_3,1,test
59802,start,0,test
60101,start,0,test
60101,step_1,0,test
60101,step_2,0,test
60101,step_3,0,test
60483,start,0,test
60483,step_1,0,test
60483,step_2,0,test
60483,step_3,0,test
60802,start,3,test
60802,step_1,2,test
60802,step_2,0,test
60802,step_3,0,test
60958,start,1,test
61007,start,3,test
61487,start,0,test
61487,step_1,0,test
61487,step_2,0,test
61487,step_3,0,test
61650,start,2,test
61650,step_1,0,test
61650,step_2,0,test
61650,step_3,0,test
61961,step_1,1,test
61961,step_2,1,test
61961,start,0,test
61961,step_3,0,test
62284,step_2,1,test
62284,start,0,test
62284,step_1,0,test
62284,step_3,0,test
62754,start,0,test
62754,step_1,0,test
62754,step_2,0,test
62754,step_3,0,test
62791,start,0,test
62791,step_1,0,test
62791,step_2,0,test
62791,step_3,0,test
62805,start,0,test
62805,step_1,0,test
62805,step_2,0,test
62805,step_3,0,test
63507,start,0,test
63507,step_1,0,test
63507,step_2,0,test
63507,step_3,0,test
63796,step_1,3,test
63796,start,1,test
63796,step_2,0,test
63796,step_3,0,test
63879,start,2,test
63879,step_3,1,test
63879,step_1,0,test
63879,step_2,0,test
63955,start,0,test
63955,step_1,0,test
63955,step_2,0,test
63955,step_3,0,test
64058,start,0,test
64058,step_1,0,test
64058,step_2,0,test
64058,step_3,0,test
64885,start,0,test
64885,step_1,0,test
65221,start,0,test
65221,step_1,0,test
65221,step_2,0,test
65221,step_3,0,test
66160,start,0,test
66160,step_1,0,test
66160,step_2,0,test
66160,step_3,0,test
66539,start,0,test
66539,step_1,0,test
66539,step_2,0,test
66539,step_3,0,test
66930,step_2,2,test
66930,step_1,1,test
66930,step_3,1,test
66930,start,0,test
67390,start,1,test
67390,step_1,1,test
67390,step_2,0,test
67390,step_3,0,test
67452,start,0,test
67452,step_1,0,test
67452,step_2,0,test
67452,step_3,0,test
67845,start,1,test
67845,step_1,1,test
67925,start,2,test
67925,step_3,1,test
67925,step_1,0,test
67925,step_2,0,test
68276,start,0,test
68276,step_1,0,test
68276,step_2,0,test
68276,step_3,0,test
68884,start,5,test
68884,step_1,1,test
68884,step_2,1,test
68884,step_3,1,test
68886,start,0,test
68886,step_1,0,test
68886,step_2,0,test
68886,step_3,0,test
69568,start,0,test
69568,step_1,0,test
69568,step_2,0,test
69568,step_3,0,test
69591,start,0,test
70576,start,5,test
70576,step_1,3,test
70576,step_2,2,test
70576,step_3,1,test
70863,start,0,test
71159,start,1,test
72074,start,3,test
72074,step_1,2,test
72074,step_2,2,test
72074,step_3,0,test
72388,start,0,test
72388,step_1,0,test
72388,step_2,0,test
72388,step_3,0,test
72395,start,1,test
72395,step_1,1,test
72395,step_2,0,test
72395,step_3,0,test
72915,start,0,test
72915,step_1,0,test
72915,step_2,0,test
72915,step_3,0,test
72916,start,0,test
72916,step_1,0,test
72916,step_2,0,test
72916,step_3,0,test
72988,start,1,test
73615,start,0,test
73615,step_1,0,test
73615,step_2,0,test
73615,step_3,0,test
73648,start,0,test
73648,step_1,0,test
73648,step_2,0,test
73648,step_3,0,test
74564,start,1,test
74564,step_1,0,test
74564,step_2,0,test
74564,step_3,0,test
74844,start,2,test
74844,step_1,0,test
74844,step_2,0,test
74844,step_3,0,test
74976,start,2,test
74976,step_1,1,test
74976,step_2,0,test
74976,step_3,0,test
75033,start,0,test
75033,step_1,0,test
75033,step_2,0,test
75033,step_3,0,test
75490,start,0,test
75490,step_1,0,test
75490,step_2,0,test
75490,step_3,0,test
76429,start,1,test
76429,step_1,1,test
76429,step_2,0,test
76429,step_3,0,test
76481,start,9,test
76481,step_1,5,test
76481,step_2,1,test
76481,step_3,0,test
76635,step_1,2,test
76635,step_2,2,test
76635,start,0,test
76775,start,0,test
76775,step_1,0,test
77276,start,0,test
77276,step_1,0,test
77276,step_2,0,test
77276,step_3,0,test
77513,start,1,test
77513,step_1,1,test
77513,step_3,1,test
77513,step_2,0,test
77933,start,0,test
77933,step_1,0,test
77933,step_2,0,test
77933,step_3,0,test
78720,start,0,test
78779,start,10,test
79452,start,0,test
79452,step_1,0,test
79452,step_2,0,test
79452,step_3,0,test
79669,start,4,test
79669,step_1,1,test
79897,start,2,test
79897,step_1,1,test
79897,step_2,0,test
79897,step_3,0,test
80006,start,1,test
80006,step_1,1,test
80006,step_2,1,test
80006,step_3,1,test
80126,start,0,test
80126,step_1,0,test
80126,step_2,0,test
80126,step_3,0,test
80275,start,6,test
80275,step_1,2,test
80275,step_2,1,test
80275,step_3,0,test
80479,start,1,test
80479,step_1,1,test
80479,step_2,1,test
80479,step_3,0,test
80801,start,3,test
80801,step_1,2,test
80801,step_2,2,test
80801,step_3,2,test
81119,start,1,test
81119,step_1,0,test
81119,step_2,0,test
81303,start,3,test
81303,step_1,0,test
81303,step_2,0,test
81303,step_3,0,test
81720,start,4,test
81720,step_1,0,test
81720,step_2,0,test
82206,start,0,test
82206,step_1,0,test
82206,step_2,0,test
82206,step_3,0,test
82560,start,3,test
82772,start,0,test
82772,step_1,0,test
82772,step_2,0,test
82772,step_3,0,test
83507,start,0,test
83507,step_1,0,test
83507,step_2,0,test
83507,step_3,0,test
83585,start,0,test
83585,step_1,0,test
83585,step_2,0,test
83585,step_3,0,test
83795,start,9,test
83795,step_1,4,test
83795,step_2,3,test
83795,step_3,0,test
84464,start,0,test
84464,step_1,0,test
84464,step_2,0,test
84464,step_3,0,test
84596,start,1,test
84658,start,2,test
84658,step_1,1,test
84658,step_2,1,test
84658,step_3,0,test
84976,start,4,test
84976,step_1,0,test
84976,step_2,0,test
84976,step_3,0,test
86035,start,0,test
86035,step_1,0,test
86035,step_2,0,test
86035,step_3,0,test
86780,start,1,test
86780,step_2,1,test
86780,step_1,0,test
86877,start,3,test
86877,step_1,1,test
86877,step_2,0,test
86877,step_3,0,test
87424,start,0,test
87424,step_1,0,test
87424,step_2,0,test
87424,step_3,0,test
87449,start,0,test
87449,step_1,0,test
87449,step_2,0,test
87449,step_3,0,test
87915,start,4,test
87915,step_1,0,test
87915,step_2,0,test
88986,start,0,test
88986,step_1,0,test
89039,start,0,test
89039,step_1,0,test
89039,step_2,0,test
89039,step_3,0,test
89257,start,4,test
89604,start,0,test
89604,step_1,0,test
89604,step_2,0,test
89604,step_3,0,test
89693,start,0,test
89693,step_1,0,test
89693,step_2,0,test
89693,step_3,0,test
89812,start,3,test
89959,step_1,6,test
89959,start,4,test
89959,step_2,4,test
89959,step_3,0,test
90324,start,2,test
90324,step_1,0,test
90324,step_2,0,test
90324,step_3,0,test
90360,start,0,test
90360,step_1,0,test
90360,step_2,0,test
90360,step_3,0,test
90383,start,0,test
91110,start,2,test
91110,step_2,2,test
91110,step_3,2,test
91110,step_1,1,test
91254,start,0,test
91254,step_1,0,test
91254,step_2,0,test
91254,step_3,0,test
91443,start,1,test
91443,step_1,1,test
91443,step_3,1,test
91443,step_2,0,test
91633,start,1,test
91633,step_1,1,test
91633,step_2,0,test
91633,step_3,0,test
92066,step_1,1,test
92066,start,0,test
92066,step_2,0,test
92066,step_3,0,test
92137,start,0,test
92137,step_1,0,test
92137,step_2,0,test
92137,step_3,0,test
92665,start,0,test
92665,step_1,0,test
92665,step_2,0,test
92665,step_3,0,test
92864,start,0,test
92864,step_1,0,test
93137,start,0,test
93137,step_1,0,test
93137,step_2,0,test
93137,step_3,0,test
93370,start,3,test
93480,start,0,test
93480,step_1,0,test
93480,step_2,0,test
93480,step_3,0,test
93610,start,4,test
93610,step_1,1,test
93610,step_2,0,test
93610,step_3,0,test
93751,start,4,test
93751,step_3,3,test
93751,step_2,1,test
93751,step_1,0,test
93870,step_1,2,test
93870,step_2,2,test
93870,start,1,test
93870,step_3,0,test
93915,step_1,6,test
93915,step_2,5,test
93915,start,3,test
93915,step_3,0,test
94234,start,0,test
94234,step_1,0,test
94234,step_2,0,test
94234,step_3,0,test
94552,start,4,test
94552,step_1,3,test
94552,step_2,3,test
94552,step_3,0,test
94662,start,4,test
94662,step_1,1,test
94662,step_2,1,test
94662,step_3,1,test
94767,start,0,test
94767,step_1,0,test
94767,step_2,0,test
94767,step_3,0,test
94914,start,0,test
95035,start,2,test
95035,step_1,0,test
95035,step_2,0,test
95035,step_3,0,test
95199,start,0,test
95199,step_1,0,test
95199,step_2,0,test
95199,step_3,0,test
95453,start,1,test
95453,step_1,1,test
95453,step_2,1,test
95453,step_3,1,test
96190,start,0,test
96190,step_1,0,test
96190,step_2,0,test
96190,step_3,0,test
96787,start,3,test
96787,step_1,2,test
96787,step_2,0,test
96787,step_3,0,test
97147,start,1,test
97147,step_1,1,test
97147,step_2,0,test
97424,start,0,test
97424,step_1,0,test
97424,step_2,0,test
97424,step_3,0,test
97590,start,1,test
97590,step_1,0,test
97590,step_2,0,test
97590,step_3,0,test
98248,start,3,test
98248,step_1,1,test
98337,start,0,test
98337,step_1,0,test
98337,step_2,0,test
98337,step_3,0,test
99208,start,0,test
99208,step_1,0,test
99208,step_2,0,test
99208,step_3,0,test
100118,start,4,test
100250,start,0,test
100250,step_1,0,test
100250,step_2,0,test
100250,step_3,0,test
100940,start,5,test
100940,step_1,2,test
100940,step_2,1,test
101220,start,1,test
102884,start,3,test
102884,step_1,0,test
102884,step_2,0,test
103622,start,2,test
103622,step_1,1,test
103622,step_2,0,test
103622,step_3,0,test
103627,start,0,test
103627,step_1,0,test
103627,step_2,0,test
103627,step_3,0,test
103669,start,1,test
103669,step_1,0,test
103669,step_2,0,test
103669,step_3,0,test
104190,start,4,test
104190,step_1,3,test
104643,start,0,test
104972,start,0,test
104972,step_1,0,test
104972,step_2,0,test
104972,step_3,0,test
106102,start,0,test
106137,start,2,test
106137,step_1,0,test
106501,start,0,test
106501,step_1,0,test
106501,step_2,0,test
106501,step_3,0,test
108419,start,2,test
108419,step_1,0,test
108419,step_2,0,test
108419,step_3,0,test
108892,start,0,test
108892,step_1,0,test
108892,step_2,0,test
108892,step_3,0,test
109662,step_1,3,test
109662,start,2,test
109662,step_2,1,test
109662,step_3,0,test
110028,start,1,test
110028,step_1,0,test
110028,step_2,0,test
110028,step_3,0,test
110212,start,1,test
110212,step_1,1,test
110212,step_2,0,test
110212,step_3,0,test
110288,start,1,test
110772,step_2,2,test
110772,start,1,test
110772,step_1,1,test
110772,step_3,1,test
111162,start,2,test
111162,step_1,1,test
112766,start,3,test
112766,step_1,3,test
112766,step_2,2,test
112766,step_3,1,test
113597,start,2,test
113597,step_1,2,test
113852,start,0,test
113852,step_1,0,test
113852,step_2,0,test
113852,step_3,0,test
113903,start,2,test
113903,step_1,1,test
113951,start,0,test
113951,step_1,0,test
113951,step_2,0,test
113951,step_3,0,test
113964,start,12,test
114542,start,0,test
114542,step_1,0,test
114542,step_2,0,test
114542,step_3,0,test
115163,start,0,test
115163,step_1,0,test
115163,step_2,0,test
115163,step_3,0,test
115570,start,0,test
115570,step_1,0,test
115570,step_2,0,test
115570,step_3,0,test
115839,start,0,test
116248,start,0,test
116248,step_1,0,test
116384,start,0,test
116384,step_1,0,test
116384,step_2,0,test
116384,step_3,0,test
117032,start,12,test
117032,step_1,5,test
117032,step_2,2,test
117032,step_3,0,test
117276,start,0,test
117276,step_1,0,test
117276,step_2,0,test
117276,step_3,0,test
117457,start,0,test
117457,step_1,0,test
117457,step_2,0,test
117457,step_3,0,test
117520,start,0,test
117520,step_1,0,test
117520,step_2,0,test
117520,step_3,0,test
117916,start,1,test
117916,step_1,0,test
117916,step_2,0,test
117916,step_3,0,test
118446,step_2,3,test
118446,step_1,2,test
118446,step_3,2,test
118446,start,1,test
118576,start,0,test
118576,step_1,0,test
118576,step_2,0,test
118966,start,2,test
118966,step_1,1,test
118966,step_2,0,test
118966,step_3,0,test
119006,step_1,7,test
119006,start,4,test
119006,step_2,4,test
119599,start,1,test
119599,step_1,0,test
119599,step_2,0,test
119634,start,4,test
119634,step_2,2,test
119634,step_1,1,test
119634,step_3,1,test
120089,start,5,test
120089,step_1,2,test
120089,step_2,2,test
120089,step_3,0,test
120351,start,0,test
120351,step_1,0,test
120351,step_2,0,test
120351,step_3,0,test
120660,start,0,test
120660,step_1,0,test
120660,step_2,0,test
120660,step_3,0,test
120830,start,2,test
120830,step_1,0,test
120830,step_2,0,test
120830,step_3,0,test
121029,start,0,test
121029,step_1,0,test
121029,step_2,0,test
121029,step_3,0,test
121238,start,0,test
121238,step_1,0,test
121238,step_2,0,test
121238,step_3,0,test
121354,start,0,test
121354,step_1,0,test
121354,step_2,0,test
121354,step_3,0,test
121536,start,3,test
121536,step_1,3,test
121536,step_2,0,test
121536,step_3,0,test
121672,start,2,test
121672,step_1,1,test
121672,step_2,0,test
121672,step_3,0,test
122093,step_3,1,test
122093,start,0,test
122093,step_1,0,test
122093,step_2,0,test
122526,start,1,test
122526,step_1,1,test
122526,step_2,0,test
122526,step_3,0,test
122790,start,0,test
122790,step_1,0,test
122790,step_2,0,test
122790,step_3,0,test
123311,start,1,test
123311,step_1,1,test
123311,step_2,0,test
123311,step_3,0,test
123853,start,2,test
124614,start,0,test
124614,step_1,0,test
124614,step_2,0,test
124614,step_3,0,test
124646,start,1,test
124646,step_1,0,test
125124,start,2,test
125124,step_1,0,test
125124,step_2,0,test
125124,step_3,0,test
125750,start,0,test
125750,step_1,0,test
125750,step_2,0,test
126259,start,0,test
126259,step_1,0,test
126259,step_2,0,test
126259,step_3,0,test
126288,start,0,test
126288,step_1,0,test
126288,step_2,0,test
126288,step_3,0,test
126524,start,0,test
126524,step_1,0,test
126524,step_2,0,test
126524,step_3,0,test
126758,start,0,test
126758,step_1,0,test
126758,step_2,0,test
126758,step_3,0,test
126853,start,0,test
126853,step_1,0,test
126853,step_2,0,test
126853,step_3,0,test
127331,start,1,test
127331,step_1,1,test
127331,step_2,0,test
127331,step_3,0,test
127396,start,0,test
127396,step_1,0,test
127396,step_2,0,test
127396,step_3,0,test
127825,start,0,test
127825,step_1,0,test
127825,step_2,0,test
127825,step_3,0,test
127921,start,0,test
127921,step_1,0,test
127921,step_2,0,test
127921,step_3,0,test
128230,step_3,2,test
128230,start,1,test
128230,step_1,1,test
128230,step_2,1,test
128919,start,0,test
128919,step_1,0,test
128919,step_2,0,test
128919,step_3,0,test
130452,start,1,test
130452,step_1,1,test
130452,step_2,1,test
130452,step_3,1,test
130952,start,11,test
130952,step_1,1,test
130952,step_2,1,test
130952,step_3,0,test
131973,start,3,test
133096,start,3,test
133096,step_1,1,test
133096,step_2,1,test
133096,step_3,1,test
133340,start,1,test
133340,step_1,1,test
133340,step_2,1,test
133340,step_3,0,test
133394,start,5,test
133394,step_1,2,test
133394,step_2,2,test
133394,step_3,0,test
133742,start,0,test
133742,step_1,0,test
133742,step_2,0,test
133742,step_3,0,test
133779,start,2,test
133779,step_1,1,test
134164,start,0,test
134282,start,0,test
134282,step_1,0,test
134282,step_2,0,test
134282,step_3,0,test
135254,start,15,test
135254,step_1,2,test
135254,step_2,1,test
135254,step_3,0,test
135917,start,1,test
135917,step_1,0,test
135917,step_2,0,test
135917,step_3,0,test
135969,start,0,test
135969,step_1,0,test
135969,step_2,0,test
135969,step_3,0,test
136873,start,0,test
136978,start,0,test
136978,step_1,0,test
136978,step_2,0,test
136978,step_3,0,test
137016,start,0,test
137016,step_1,0,test
137016,step_2,0,test
137016,step_3,0,test
137061,start,1,test
137061,step_1,1,test
137061,step_2,0,test
137061,step_3,0,test
137412,start,0,test
137412,step_1,0,test
