visit_id,time_elapsed,client_id,client_age,age_category
103049564_53637551445_140548,17.6,3482195,18.0,young
103074110_36036427436_224168,10.416666666666666,4728164,64.0,senior
103206917_79424670085_548578,1.8166666666666669,6572513,56.0,adult
103259230_91726805198_42860,3.75,1235280,62.0,senior
103262112_44272205554_17076,2.9166666666666665,1121613,26.0,young
103282678_27042361815_851705,2.75,7458004,39.0,adult
103288968_42584086301_52288,2.65,518097,49.0,adult
103386244_38229139313_546758,5.8,9204785,64.0,senior
103390146_17791176841_983341,9.05,6064610,42.0,adult
103429659_37868581419_964988,10.7,5071488,44.0,adult
103452266_65589345292_334664,5.383333333333334,4428440,32.0,adult
103547153_48132333098_296164,2.066666666666667,9255891,26.0,young
103587918_85812829742_55398,2.15,4237982,35.0,adult
103601194_76355185230_460744,2.6333333333333333,5503800,52.0,adult
103609069_67444114796_723567,7.8,3285791,88.0,senior
103672872_27263820810_450006,4.016666666666667,120309,64.0,senior
103808018_38026064618_356916,2.966666666666667,1350186,28.0,young
103828097_2964593896_769569,9.616666666666667,7781142,66.0,senior
103844930_39480104147_119972,3.283333333333333,7516259,36.0,adult
103962335_25060963174_327284,4.716666666666667,7269600,42.0,adult
104083800_60349476282_456725,2.033333333333333,7544412,58.0,adult
104169592_44210761083_702489,3.55,9436513,23.0,young
104222319_64628836240_918404,4.2,6428716,50.0,adult
104270547_21421209917_971358,3.7666666666666666,3232335,68.0,senior
104611358_99312923751_651012,15.983333333333333,6599771,58.0,adult
104629663_11646004013_508037,2.783333333333333,7813768,59.0,adult
104678659_36278223108_614428,5.35,5037795,58.0,adult
104944548_40883139441_93173,3.1333333333333333,3669767,50.0,adult
105091881_38847710974_589990,3.9166666666666665,466142,24.0,young
105130588_83395941950_968824,3.25,6856615,68.0,senior
105231784_73768895001_439276,1.6666666666666667,8056722,78.0,senior
10525585_16624908258_755243,2.6,9587164,20.0,young
105267422_78903782197_367795,2.933333333333333,9402694,24.0,young
105310597_44245617177_116573,1.6666666666666667,7498356,46.0,adult
105356822_18107865160_411243,6.083333333333333,2471147,32.0,adult
105397247_2189954903_518088,3.2666666666666666,3696592,36.0,adult
105458872_73633905256_530797,14.466666666666669,34067,66.0,senior
105458894_14199333129_3131,3.95,5096171,74.0,senior
105463936_33665073256_202725,1.4833333333333334,4121100,30.0,young
105687916_37056975038_128942,5.95,5013337,54.0,adult
105727237_33299933441_343945,18.98333333333333,1433050,54.0,adult
105849068_17000709084_830710,2.6666666666666665,6765412,36.0,adult
105877223_61802077621_417951,2.75,3171521,38.0,adult
1058878_6068392397_212360,14.0,5120012,38.0,adult
105981591_70237515451_29158,6.866666666666666,6665261,66.0,senior
105998803_62630916167_181478,5.633333333333334,8929415,48.0,adult
106020402_81964804358_151571,13.883333333333333,3009588,44.0,adult
106062830_23704503289_392883,3.6666666666666665,5374819,55.0,adult
106077428_2572724392_430646,2.433333333333333,2406034,28.0,young
106162458_13073625157_259055,3.15,9499259,64.0,senior
106188542_73791453439_396070,6.516666666666667,6905898,56.0,adult
106221391_55485370533_288682,3.633333333333333,7582539,24.0,young
106230609_98155655442_299610,1.1166666666666667,4926147,25.0,young
106232894_58365287236_311352,2.0,9278443,32.0,adult
106288735_5496759638_969218,2.833333333333333,8608653,42.0,adult
106516319_17231742424_451640,2.066666666666667,3673896,36.0,adult
106530045_50715786080_839962,13.8,8029833,24.0,young
106588504_5828543624_414168,2.333333333333333,5524226,30.0,young
106679528_83928157480_253697,5.2,6316179,40.0,adult
106728830_24796395479_680506,4.083333333333333,4766428,66.0,senior
106742846_97029063001_192846,3.75,1821665,28.0,young
106749425_84660712069_228934,1.9666666666666663,7175242,29.0,young
106762185_22787047103_166209,10.65,1230381,48.0,adult
10676892_62797396948_321032,3.966666666666667,1206454,42.0,adult
106805459_62507842156_488717,2.2,1623788,32.0,adult
106809676_34736821159_772023,3.8666666666666663,9290967,40.0,adult
10691547_6905772212_536480,7.95,8522955,62.0,senior
106973227_30712029071_656405,13.433333333333334,1997443,26.0,young
106991823_36926773912_894581,6.266666666666667,6999674,52.0,adult
10701368_33671322700_675209,8.633333333333333,1558503,28.0,young
1070340_64433955447_943502,1.3666666666666667,3252191,32.0,adult
107090185_43642799759_974372,1.8,7546162,72.0,senior
10721468_20141279440_61193,23.1,7025660,60.0,senior
107222483_8242134100_684417,6.216666666666667,7266624,24.0,young
107291547_22481134147_322645,5.933333333333334,5563273,38.0,adult
10736492_51772568397_109044,2.933333333333333,9165808,58.0,adult
10748725_78351965784_819901,6.116666666666666,4084333,58.0,adult
107498847_67594416067_869316,7.866666666666666,4604290,62.0,senior
10750371_16783231389_198484,8.366666666666667,9907037,62.0,senior
107631330_22230037486_301416,16.35,9696533,58.0,adult
107641279_72757423441_432705,5.266666666666667,8208998,60.0,senior
107670967_98557689633_256472,2.683333333333333,2056063,26.0,young
107693237_96368288508_746463,5.866666666666666,8989552,32.0,adult
10781030_88249762808_198895,4.05,4469398,60.0,senior
107812476_47194111740_635808,6.65,8824053,46.0,adult
107975394_61350699882_375756,7.066666666666666,7140710,30.0,young
108088171_11964436695_942392,4.366666666666666,6399633,68.0,senior
108128640_13820221567_570627,3.1333333333333333,5442451,20.0,young
108132969_24758442202_975841,6.466666666666667,3476892,28.0,young
108152866_12655231835_411925,4.933333333333334,4185812,64.0,senior
108160928_74041165668_179601,5.866666666666666,37064,32.0,adult
10817171_50453956454_434089,26.116666666666667,7009565,62.0,senior
108185369_27453506388_542429,36.2,5873674,64.0,senior
1081884_88414139180_854167,5.366666666666666,7955667,64.0,senior
10819387_86190387051_69793,6.133333333333334,2708707,29.0,young
108207988_38370547354_997031,19.7,392273,30.0,young
10823683_86056158289_300788,6.666666666666667,7171907,78.0,senior
108397960_79834715554_939840,3.533333333333333,3392317,20.0,young
108554619_78952596421_643514,15.9,6480906,80.0,senior
108631730_52513210497_452167,11.633333333333333,673678,66.0,senior
108632786_58840162832_280089,8.9,2177404,58.0,adult
108686729_34233509984_14487,14.233333333333333,3560967,68.0,senior
108690991_98901585957_570,4.0,6932275,48.0,adult
10871633_1705641651_226934,4.2,2522259,42.0,adult
108905338_14872524601_905668,4.933333333333334,6356888,26.0,young
108907799_62013523001_254981,1.6,6741529,28.0,young
10893632_5786602531_586085,5.766666666666667,465162,24.0,young
108937428_94918779072_42035,15.9,8101,70.0,senior
108957383_41514350677_193670,1.3166666666666669,4754251,18.0,young
109011250_15395719573_228235,4.25,5217337,26.0,young
109126522_89302360716_797418,8.0,739719,65.0,senior
109140695_24859270597_694344,6.9,2891163,68.0,senior
109154154_68812231163_309521,3.75,3897933,70.0,senior
109178915_88566590610_326604,1.65,3430448,72.0,senior
109254991_66090324429_451565,12.816666666666666,8148299,80.0,senior
109266551_86824413138_988298,7.133333333333334,7763094,54.0,adult
109270825_70428791942_253169,4.566666666666666,5161688,44.0,adult
109341543_93834603351_339892,3.4,9624621,62.0,senior
10934213_8358643379_64047,13.533333333333331,298925,44.0,adult
109348025_27992284703_535018,1.7333333333333334,4482137,66.0,senior
109478439_46834904677_537548,5.233333333333333,3617668,58.0,adult
109493483_32835460568_770553,3.85,3817564,38.0,adult
109837753_21589558825_892617,2.8666666666666667,8415327,30.0,young
109853243_54038366030_348387,2.6,5436026,46.0,adult
109887260_69500309963_355398,3.583333333333333,5583943,55.0,adult
109985769_23587300049_49862,1.8166666666666669,6372038,68.0,senior
110028919_87375981057_54923,15.15,4617245,48.0,adult
110077423_47121627403_507093,2.2333333333333334,6948674,26.0,young
110188436_84937351201_276106,23.33333333333333,3217714,51.0,adult
110282786_63380697757_292711,2.8833333333333333,9881248,22.0,young
110307202_34636181112_192510,4.85,6934507,70.0,senior
110357480_44657547325_549221,4.533333333333333,3004695,30.0,young
110370392_24256998198_114037,12.366666666666667,8147545,28.0,young
110389785_41987072969_79530,6.716666666666667,2053795,56.0,adult
11039402_67593207357_110439,5.383333333333334,751629,52.0,adult
110396168_29164529346_22732,1.8,5933753,72.0,senior
110477187_9291835195_280023,1.9333333333333331,1876212,45.0,adult
11049489_90808735976_373672,3.566666666666667,9873194,60.0,senior
110503428_41861954003_178066,10.5,4652641,42.0,adult
110529988_53459954592_574647,4.183333333333334,2249641,50.0,adult
11054834_9291749319_320607,11.583333333333334,7146571,48.0,adult
110602169_70496154144_443274,5.683333333333334,1591487,62.0,senior
110644352_58623709359_189784,6.266666666666667,8273339,30.0,young
110720215_97248493330_744168,1.8666666666666667,6059000,22.0,young
110769229_2731562596_369038,4.35,4363631,26.0,young
110899910_14242013946_84357,1.55,8562779,36.0,adult
11090727_95300510488_327761,2.6333333333333333,3465286,34.0,adult
110925583_24930667706_617581,5.666666666666667,8167124,66.0,senior
110927775_62147961797_589694,3.5166666666666666,8549200,62.0,senior
110979260_6724695508_22050,2.75,4363111,40.0,adult
111019180_13564920828_813922,7.316666666666666,6693164,40.0,adult
11102876_24833879204_800510,3.1166666666666667,6785076,28.0,young
111041619_14934652450_91501,3.983333333333333,3570952,32.0,adult
111109938_65650845973_826189,18.216666666666665,5944559,71.0,senior
111148205_25981715466_468155,5.366666666666666,9320265,68.0,senior
111153239_82474719634_867289,7.55,7553011,60.0,senior
111161234_91702610713_863395,1.7333333333333334,9679406,56.0,adult
111201925_49456733189_59478,4.483333333333333,5035892,34.0,adult
111217613_24577305244_306771,3.0166666666666666,7511654,51.0,adult
111326804_83688354720_633705,12.35,8457919,66.0,senior
111328817_79510453331_478752,12.6,8935253,28.0,young
111389398_71419555371_190810,3.8,7873434,48.0,adult
111428143_11425186552_799716,14.816666666666666,9641810,68.0,senior
111634306_28851946679_245469,2.3666666666666667,6642683,34.0,adult
111798310_43645736226_972694,5.716666666666667,3387907,68.0,senior
111821165_327669615_79473,2.6333333333333333,3016443,42.0,adult
111907633_72880763425_867787,4.533333333333333,358189,48.0,adult
111942134_40082625582_88003,4.483333333333333,6754236,62.0,senior
11226658_85296798861_496994,2.9833333333333334,4942333,64.0,senior
112278123_17520597358_564573,13.05,5592504,58.0,adult
112303976_61144673077_767002,3.1,8117599,64.0,senior
112352365_62407393457_17520,3.9,8366776,46.0,adult
112363268_58221783867_684760,3.3833333333333333,8895190,32.0,adult
112524113_33905665150_198284,4.866666666666666,1345895,62.0,senior
112621455_54406533221_442304,2.5,6625648,52.0,adult
112962802_60410211013_678851,9.083333333333334,5449775,28.0,young
112984359_7632128065_94563,4.183333333333334,1871798,38.0,adult
113119512_8308234673_482793,8.266666666666667,1901850,60.0,senior
113183636_74845248813_692936,4.0,3361646,61.0,senior
113210214_41722402972_182737,11.9,7125818,52.0,adult
113266577_6180033811_938815,6.4,9015448,26.0,young
113296808_72611048538_244313,2.2666666666666666,6038811,30.0,young
113562647_25670250959_145815,19.73333333333333,5012978,46.0,adult
113704105_34445302901_315971,2.7,8737272,52.0,adult
113725800_43586656354_807324,5.466666666666667,4304356,34.0,adult
113831903_66637399804_682438,14.7,47571,26.0,young
113857132_6367438136_397511,7.816666666666666,1892008,24.0,young
113976746_73687034503_659300,5.016666666666667,8383420,18.0,young
114078072_49942160020_776204,3.55,8564174,48.0,adult
114083944_83737182057_396524,4.116666666666666,3969475,54.0,adult
114105550_13669475196_891078,6.516666666666667,7850280,52.0,adult
114106519_80792704519_839638,4.75,233249,64.0,senior
114211436_87782424805_368670,4.316666666666666,3512962,46.0,adult
114224653_92314090324_515997,3.6,4709898,58.0,adult
114245500_11808489882_338180,6.75,9290245,48.0,adult
114413144_11508614397_666820,14.516666666666667,7286566,40.0,adult
114445814_11524806547_85057,3.8666666666666663,4504903,42.0,adult
114564140_74467176622_552976,6.7,2289937,72.0,senior
114593266_71061634944_216043,11.433333333333334,1736245,44.0,adult
114608397_81417881599_573409,7.616666666666666,1095055,64.0,senior
11467683_85912757077_972642,12.35,175033,42.0,adult
114804217_38911961494_779374,4.933333333333334,8699444,48.0,adult
11484734_14357678728_466641,7.516666666666667,6229124,34.0,adult
114879877_78279781452_522855,2.95,6474741,42.0,adult
114885457_41447361034_760968,3.2666666666666666,2536110,66.0,senior
11502091_46137398931_301788,7.483333333333333,328027,64.0,senior
115049717_82186765278_162124,4.116666666666666,93127,44.0,adult
115104247_76393222538_918727,1.6333333333333333,6096252,24.0,young
115201304_41243373705_102534,2.85,2129008,42.0,adult
115208418_12097011388_819632,4.216666666666667,9034200,54.0,adult
115311135_307601099_993997,10.683333333333334,3989766,39.0,adult
115471390_2958393370_393213,2.2,6747044,19.0,young
115546883_13388993526_551290,3.066666666666667,7007069,55.0,adult
115572047_19690039926_685179,1.8333333333333333,7439738,68.0,senior
11567009_80440453288_940609,4.066666666666666,4852454,68.0,senior
115730812_32311810732_588813,5.516666666666667,1825680,56.0,adult
115730850_16893471087_13740,3.716666666666667,9402587,26.0,young
115742010_80805076270_430012,11.466666666666669,3512288,36.0,adult
11577681_47915149024_91625,2.783333333333333,9682711,46.0,adult
115783905_26160113680_725969,4.583333333333333,410527,42.0,adult
115973585_79019214030_127404,2.3833333333333333,944052,34.0,adult
116004490_24439784366_860614,3.216666666666667,4604287,36.0,adult
116079564_49657250595_146817,7.416666666666667,2320664,52.0,adult
116209603_23119777772_865234,6.516666666666667,1129041,72.0,senior
116341103_97181280423_61580,3.35,2654796,26.0,young
116384239_65753252610_251072,7.916666666666667,1290560,66.0,senior
116463050_26579900717_757798,10.116666666666667,6179435,22.0,young
116649071_782501428_311932,2.9166666666666665,578478,55.0,adult
116703787_78213207879_36603,5.1,2061471,51.0,adult
116778086_56030015417_573781,7.366666666666666,7909733,24.0,young
117027909_92974154269_785442,3.183333333333333,7835776,42.0,adult
117168338_69646494826_690327,16.65,7795722,66.0,senior
117172126_80993066302_654552,5.65,5725347,64.0,senior
11720986_52679762149_836806,2.3833333333333333,90596,48.0,adult
117291376_25284975669_155364,3.5166666666666666,11122,40.0,adult
117352486_41378755781_231965,6.65,535673,46.0,adult
117364362_4303201630_62362,2.4833333333333334,7133081,56.0,adult
117541215_39202484404_181970,2.9833333333333334,861392,51.0,adult
117584795_60495945767_198199,8.416666666666666,9629829,55.0,adult
117605247_63053644773_373788,29.1,3557845,32.0,adult
117623083_28983793422_368850,1.1833333333333331,1995384,38.0,adult
117641933_72757811525_888167,1.1833333333333331,1465089,24.0,young
11767591_46815920430_274635,1.8833333333333333,3659186,52.0,adult
117680712_31631394488_449622,2.0,5147748,42.0,adult
117706876_72262983287_653705,3.2,4014435,44.0,adult
117714400_50322151466_503875,5.5,7968614,41.0,adult
117791864_6678607941_568700,13.633333333333333,4821014,62.0,senior
117830944_56061694046_595166,2.45,206829,58.0,adult
117896179_1004058260_627958,4.066666666666666,4779050,46.0,adult
117899179_96541016886_779485,2.9,3420244,40.0,adult
117908454_79746633548_126146,11.066666666666666,6918929,70.0,senior
117915124_84242354140_83350,4.016666666666667,1322248,42.0,adult
117946925_3388334130_880569,1.6,2002054,32.0,adult
118012685_29423359739_408123,4.683333333333334,5177219,76.0,senior
118054537_62322149580_634328,6.2,7622966,49.0,adult
11805755_68994722200_242989,3.583333333333333,2428657,31.0,young
118170309_98030963044_476320,4.816666666666666,3767203,48.0,adult
118230460_23654689177_141100,12.183333333333334,7789673,72.0,senior
11842361_73805488372_860066,2.216666666666667,735147,64.0,senior
118509546_69849813633_676169,2.75,9607461,76.0,senior
118542363_68130062917_19869,1.9166666666666667,4994001,36.0,adult
118567823_77083571539_442423,13.883333333333333,2355590,62.0,senior
118626507_3369959419_813057,4.616666666666666,9440795,50.0,adult
118692123_69155045540_520095,25.116666666666667,9444871,58.0,adult
118773707_6825242344_189956,8.166666666666666,447683,20.0,young
118808339_78503249872_587863,2.3,1163653,26.0,young
118963382_14954004514_863675,4.9,8540308,48.0,adult
119026294_39060717185_954315,5.883333333333334,2156449,38.0,adult
119123186_70680902278_700733,17.066666666666666,8521482,68.0,senior
11915642_63719450184_557063,6.566666666666666,4842155,32.0,adult
119162170_31420035865_823377,3.6,9230421,40.0,adult
119208864_65436276433_385022,5.2,6817531,72.0,senior
119246336_59451126691_742770,4.516666666666667,7851008,64.0,senior
119290182_57892840193_603813,2.283333333333333,1520050,50.0,adult
119292097_58583677361_310771,10.666666666666666,8563608,50.0,adult
119309536_38074288538_145882,3.2333333333333334,1604827,40.0,adult
11931057_69107863646_206148,2.933333333333333,5762524,25.0,young
119317066_9362412681_901008,2.5166666666666666,9856081,64.0,senior
119411390_64352583480_163002,14.683333333333334,59782,66.0,senior
119433091_78701973594_124781,2.083333333333333,8289125,63.0,senior
119454601_76774270593_99855,2.2333333333333334,6798836,22.0,young
119500390_79564332375_439300,14.966666666666669,7509628,64.0,senior
119597181_77299326088_263895,4.316666666666666,7669585,28.0,young
119818686_24032430448_1246,8.233333333333333,1431526,30.0,young
119848473_65630079066_113087,9.35,5375695,60.0,senior
119868293_38464735300_501965,6.833333333333333,9283146,62.0,senior
119909799_10205177390_929697,1.6,7006564,29.0,young
119991097_18669689168_56147,5.8,5329164,66.0,senior
119994520_87392769980_768995,5.033333333333333,8059559,44.0,adult
120003502_40419708236_844787,7.383333333333334,4758838,54.0,adult
120027680_53148807162_296715,5.216666666666667,9478730,32.0,adult
120062297_77563779808_81951,1.75,8080881,35.0,adult
120098873_86476484399_469477,14.116666666666667,4367344,56.0,adult
120320287_85501544941_975337,2.2,6846120,30.0,young
120341990_61682014537_674237,9.366666666666667,9742844,48.0,adult
120431574_89587101437_289383,3.1666666666666665,3942363,24.0,young
120547028_97441236091_94203,7.55,5943233,60.0,senior
120665648_33216406862_240380,13.833333333333334,1211032,48.0,adult
120690401_79853678313_780061,15.183333333333334,546146,42.0,adult
12073164_19049441239_413304,4.15,8837677,68.0,senior
120784288_61628566845_43116,3.1166666666666667,6808601,44.0,adult
120964881_159401944_672258,2.1,4219119,38.0,adult
121046433_41769744641_147208,4.85,8070687,35.0,adult
121122760_49585892112_348108,3.05,3206768,66.0,senior
121180454_32894565146_390736,1.75,4967237,24.0,young
121219607_22031864498_834964,10.65,2923145,31.0,young
121300808_63024669474_69323,16.233333333333334,4764978,28.0,young
12135950_63909399141_263124,2.55,6460410,46.0,adult
121372186_24160448595_593910,12.116666666666667,1318988,34.0,adult
121424283_75581657669_178015,6.166666666666667,3434100,48.0,adult
121474325_99680898730_343692,6.433333333333334,3637573,28.0,young
121490600_76646484602_627041,6.716666666666667,5645092,42.0,adult
121509728_6600651323_68437,4.216666666666667,7015427,54.0,adult
121518174_16361370428_371692,30.28333333333333,7044580,64.0,senior
121559874_33968472130_554851,10.483333333333333,4424945,84.0,senior
121629948_96296729223_789126,3.2,9587814,60.0,senior
121765798_96967264858_524127,12.566666666666666,5597360,74.0,senior
121787017_13067762240_663867,2.8833333333333333,6187815,28.0,young
121845981_48365978386_267845,4.516666666666667,4937577,66.0,senior
12188057_28172793043_361809,1.75,4231428,36.0,adult
121942740_74159426200_443590,4.616666666666666,1510521,78.0,senior
121970110_55698057016_628045,3.8666666666666663,400613,53.0,adult
122024703_24104695541_862085,3.9166666666666665,2276437,35.0,adult
122266428_2146585171_398004,2.566666666666667,4560132,36.0,adult
12227319_45884293005_754296,1.6666666666666667,3206726,38.0,adult
122307723_36084253916_184891,1.5833333333333333,8932242,32.0,adult
122353619_52576169120_937301,6.283333333333333,5752256,26.0,young
122379901_73882407138_824316,2.7666666666666666,27241,34.0,adult
122388461_91845002120_508353,19.53333333333333,2879531,58.0,adult
12240542_18566285438_318332,5.066666666666666,5018608,43.0,adult
122486385_72752382226_311328,2.6166666666666667,9988775,36.0,adult
122554113_63689906172_604105,3.3833333333333333,6583420,28.0,young
122634415_47700144860_599900,5.316666666666666,5867937,20.0,young
122722429_67928447972_347027,5.866666666666666,6279949,22.0,young
122753216_56212220378_574998,3.9166666666666665,9016240,32.0,adult
122772036_1623377393_985517,4.216666666666667,8695994,62.0,senior
12280582_71472448673_729709,6.833333333333333,1019589,68.0,senior
122887283_14852379382_800663,3.683333333333333,1130170,48.0,adult
122893046_44886002207_867988,13.816666666666666,7683151,35.0,adult
123032608_64561054617_725441,8.6,7680278,60.0,senior
123060859_55233036098_398178,4.733333333333333,1671845,30.0,young
123102931_73290411906_526385,2.9833333333333334,5356988,28.0,young
123288825_41009665133_118815,12.85,4054538,58.0,adult
123356906_95230109120_113548,2.3,6480877,31.0,young
123529328_9690423979_425334,14.716666666666669,5925836,54.0,adult
123533949_30719615014_821424,3.1333333333333333,3046140,26.0,young
123744892_86254236536_169663,2.4166666666666665,9754728,40.0,adult
123811187_90187137862_329111,7.766666666666667,7699381,58.0,adult
123863614_23461220026_273349,2.333333333333333,3859749,70.0,senior
12392687_79568132989_927821,4.083333333333333,7985820,48.0,adult
123937009_44568711020_185158,3.6166666666666663,8573578,26.0,young
123945240_15049563182_509668,7.983333333333333,507390,68.0,senior
124025679_98118027194_460116,4.6,3549101,34.0,adult
124229463_73126414358_15072,5.683333333333334,9042035,57.0,adult
124260486_36670277946_599072,2.8833333333333333,1390847,28.0,young
124447412_36918066515_141931,2.1666666666666665,7108936,35.0,adult
124461069_8356618439_529754,1.4833333333333334,643892,31.0,young
124489482_8171248895_786151,1.5166666666666666,8747032,44.0,adult
124512641_9148291850_312576,7.216666666666667,8128924,46.0,adult
124520046_36689151827_509602,4.733333333333333,1787889,70.0,senior
124525286_10050270332_268683,1.5833333333333333,3590091,31.0,young
124530684_1650114664_348764,12.316666666666666,9505609,55.0,adult
124580442_2005847868_857666,19.016666666666666,224102,64.0,senior
124725490_90572328553_745987,1.3833333333333333,2546247,40.0,adult
124797928_17915820638_751002,2.3833333333333333,9884785,46.0,adult
124840717_80397683629_528569,11.566666666666666,6816212,68.0,senior
124865016_90477423795_914703,5.516666666666667,4874181,56.0,adult
124882095_46280864366_264231,5.6,7389969,72.0,senior
125064870_60043803134_912665,3.816666666666667,8811666,42.0,adult
125082801_35902573405_730921,3.733333333333333,7575007,72.0,senior
125145713_22030498684_999585,2.4,6400804,62.0,senior
125159452_4808162735_267959,6.166666666666667,2367906,62.0,senior
125194225_19393943227_371829,2.816666666666667,8236198,44.0,adult
125275489_95302320386_887748,2.7666666666666666,204361,34.0,adult
125409287_92566006442_503979,1.7666666666666666,7073335,32.0,adult
125513104_64867407482_727310,2.7333333333333334,9186884,70.0,senior
12554741_37031313601_323548,4.766666666666667,8507003,42.0,adult
12558727_78555624485_615394,3.883333333333333,4885417,34.0,adult
125734235_92809562194_431998,3.45,1393303,32.0,adult
125760837_89410104964_798193,8.683333333333334,2911193,70.0,senior
125832423_23243023523_386086,10.583333333333334,5592682,42.0,adult
125838960_38159820968_571167,9.033333333333331,1253755,60.0,senior
126038468_33075363667_828406,16.65,4659529,34.0,adult
126066063_48089592003_955951,3.083333333333333,8537217,22.0,young
126073180_13977072507_684131,2.75,7889092,42.0,adult
126105133_17809893975_201170,4.666666666666667,7695537,54.0,adult
126145539_96791736573_654075,3.283333333333333,8542371,32.0,adult
126155948_91829417448_668805,3.35,8483908,32.0,adult
126240343_15554427891_834962,7.366666666666666,9673536,32.0,adult
126296998_39900099890_810751,17.533333333333335,689136,58.0,adult
126331582_6989339765_102805,4.133333333333334,6662941,36.0,adult
126364200_6288877161_551550,2.6,2859751,48.0,adult
126413178_88741590917_65200,3.733333333333333,6003391,30.0,young
126516830_86054743384_607743,3.083333333333333,6513675,54.0,adult
126553394_57423002204_670573,3.083333333333333,9644436,28.0,young
126626366_17761548572_966909,6.516666666666667,7507445,62.0,senior
126686639_32179730399_54605,9.05,4556322,56.0,adult
126709913_77136344500_772362,2.0,5749370,22.0,young
126831798_72369825391_412873,5.266666666666667,3641688,38.0,adult
126867733_79975391702_480338,4.65,9382040,64.0,senior
126976536_60224409497_844515,4.9,3003746,64.0,senior
126993312_61330790633_751459,5.683333333333334,6394421,30.0,young
127002788_78871554435_4029,4.266666666666667,3758871,26.0,young
127128778_10492721551_588350,4.866666666666666,3205643,40.0,adult
12717827_74069744016_14995,3.9,4760221,42.0,adult
127193802_43804471802_546785,2.35,4876761,44.0,adult
127219285_50665742744_705968,5.266666666666667,5306046,32.0,adult
127229801_78830700894_778903,4.7,6353548,64.0,senior
127273846_29152254995_176925,8.366666666666667,4780398,64.0,senior
127332015_805650534_630144,5.4,5030525,84.0,senior
127336511_63395494679_413380,4.45,9426700,34.0,adult
127412374_44104804454_699824,14.066666666666666,2629473,60.0,senior
127422847_98470448979_125324,1.8833333333333333,6383242,38.0,adult
127474911_30982999871_733481,2.55,2427690,62.0,senior
127489859_27455887646_729058,4.416666666666667,1944168,46.0,adult
127687945_32968569926_106784,2.0166666666666666,7571648,24.0,young
127735928_86903835139_758444,9.683333333333334,8118015,58.0,adult
127760462_93809997944_935911,2.55,4590672,34.0,adult
127794746_84347323856_925993,2.25,4162600,34.0,adult
127811068_29124722741_919678,11.683333333333334,8788431,52.0,adult
127830304_22598971455_173727,3.45,1570493,20.0,young
12785556_86170718367_710834,3.0,3451071,40.0,adult
127889882_93420937159_313668,14.783333333333331,7985391,66.0,senior
127987869_67780914279_389546,18.566666666666663,1113377,30.0,young
127989446_45976305204_84881,4.4,144678,46.0,adult
128004951_82629314672_564067,1.2,239815,52.0,adult
128086637_18625231611_282111,8.083333333333334,7372308,38.0,adult
1280982_923648651_849206,1.4333333333333331,4132062,27.0,young
128165830_30427263254_13035,7.55,7933649,32.0,adult
128198568_48364299831_325716,1.95,6512725,22.0,young
128203835_64131603173_23885,6.166666666666667,4698803,32.0,adult
12822731_67497354981_750717,27.85,8302339,47.0,adult
128287397_67541594890_378495,23.3,7780474,25.0,young
128341898_36139070291_42472,6.416666666666667,6383826,52.0,adult
128375768_88788300716_536830,2.683333333333333,5250186,24.0,young
128546324_32320590396_147413,16.733333333333334,2442931,26.0,young
128563699_63892912682_41512,6.683333333333334,8853635,73.0,senior
128646468_43424584227_475939,1.75,8536834,47.0,adult
